"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bin71","Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Clathrulinidae","norank_c__Clathrulinidae","norank_c__Clathrulinidae","Hedriocystis","uncultured_eukaryote_g__Hedriocystis"
"Bin72","Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","uncultured_freshwater_cercozoan_p__SAR_d__Eukaryota"
"Bin73","Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Novel_Clade_2","norank_c__Novel_Clade_2","norank_c__Novel_Clade_2","norank_c__Novel_Clade_2","uncultured_freshwater_cercozoan_c__Novel_Clade_2"
"Bin74","Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin75","Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","uncultured_Eimeriidae_p__SAR_d__Eukaryota"
"Bin76","Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin77","Eukaryota","Fungi","others","norank_p__Blastocladiomycota","norank_p__Blastocladiomycota","norank_p__Blastocladiomycota","norank_p__Blastocladiomycota","unclassified_g__norank_p__Blastocladiomycota"
"Bin78","Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Glissomonadida","norank_c__Glissomonadida","norank_c__Glissomonadida","norank_c__Glissomonadida","uncultured_Cercozoa_c__Glissomonadida"
"Bin68","Eukaryota","norank_d__Eukaryota","norank_d__Eukaryota","Choanoflagellida","norank_c__Choanoflagellida","norank_c__Choanoflagellida","norank_c__Choanoflagellida","unclassified_g__norank_c__Choanoflagellida"
"Bin69","Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Thecofilosea","unclassified_c__Thecofilosea","unclassified_c__Thecofilosea","unclassified_c__Thecofilosea","unclassified_c__Thecofilosea"
"Bin70","Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin58","Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin59","Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Barnettozyma-Candida_clade","Barnettozyma_californica"
"Bin60","Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin61","Eukaryota","Animalia","others","Gymnolaemata","unclassified_c__Gymnolaemata","unclassified_c__Gymnolaemata","unclassified_c__Gymnolaemata","unclassified_c__Gymnolaemata"
"Bin63","Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin64","Eukaryota","Discoba","others","Diplonemea","norank_c__Diplonemea","norank_c__Diplonemea","unclassified_f__norank_c__Diplonemea","unclassified_f__norank_c__Diplonemea"
"Bin62","Eukaryota","Fungi","Mucoromycota","norank_p__Mucoromycota","norank_p__Mucoromycota","norank_p__Mucoromycota","norank_p__Mucoromycota","Mucor_racemosus"
"Bin49","Eukaryota","Fungi","others","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"Bin50","Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin51","Eukaryota","Fungi","others","norank_p__Cryptomycota","norank_p__Cryptomycota","norank_p__Cryptomycota","norank_p__Cryptomycota","invertebrate_environmental_sample_p__Cryptomycota"
"Bin52","Eukaryota","Fungi","others","norank_p__Chytridiomycota","norank_p__Chytridiomycota","norank_p__Chytridiomycota","norank_p__Chytridiomycota","unclassified_g__norank_p__Chytridiomycota"
"Bin53","Eukaryota","Fungi","others","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"Bin48","Eukaryota","Chloroplastida","norank_k__Chloroplastida","Chlorodendrophyceae","Chlorodendrales","norank_o__Chlorodendrales","Tetraselmis","unclassified_g__Tetraselmis"
"Bin44","Eukaryota","Discoba","others","Kinetoplastea","Eubodonida","norank_o__Eubodonida","Bodo","unclassified_g__Bodo"
"Bin45","Eukaryota","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae","unclassified_f__Sarcosomataceae","unclassified_f__Sarcosomataceae"
"Bin46","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","unclassified_f__Aureobasidiaceae","unclassified_f__Aureobasidiaceae"
"Bin47","Eukaryota","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_oligosperma"
