"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Domain","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","TopTaxon.Species","Domain.maxNamed","Domain.maxNamed.Percent","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent","Species.maxNamed","Species.maxNamed.Percent"
"Bin31",0.022938194989768,"OTU615",0.402718103281252,"Eukaryota","Chloroplastida","norank_k__Chloroplastida","unclassified_p__norank_k__Chloroplastida","unclassified_p__norank_k__Chloroplastida","unclassified_p__norank_k__Chloroplastida","unclassified_p__norank_k__Chloroplastida","unclassified_p__norank_k__Chloroplastida","Eukaryota",1,"Chloroplastida",0.999840326910344,"norank_k__Chloroplastida",0.999840326910344,"Chlorophyceae",0.595221797332274,"norank_c__Chlorophyceae",0.540392970768607,"norank_c__Chlorophyceae",0.540392970768607,"norank_c__Chlorophyceae",0.540392970768607,"Carteria_eugametos",0.302317135740713
"Bin32",0.0196155710016456,"OTU714",0.390891678678243,"Eukaryota","Chloroplastida","norank_k__Chloroplastida","Chlorophyceae","norank_c__Chlorophyceae","norank_c__Chlorophyceae","norank_c__Chlorophyceae","unclassified_g__norank_c__Chlorophyceae","Eukaryota",1,"Chloroplastida",0.823119899802819,"norank_k__Chloroplastida",0.7782554873304,"Chlorophyceae",0.753846273795156,"norank_c__Chlorophyceae",0.753846273795156,"norank_c__Chlorophyceae",0.753846273795156,"norank_c__Chlorophyceae",0.753846273795156,"Klebsormidium_flaccidum",0.00835989501117469
"Bin33",0.00875106729833951,"OTU2291",0.668393934822351,"Eukaryota","Chloroplastida","norank_k__Chloroplastida","Trebouxiophyceae","norank_c__Trebouxiophyceae","norank_c__Trebouxiophyceae","norank_c__Trebouxiophyceae","unclassified_g__norank_c__Trebouxiophyceae","Eukaryota",1,"Chloroplastida",0.999544848857807,"norank_k__Chloroplastida",0.999544848857807,"Trebouxiophyceae",0.994539091011713,"norank_c__Trebouxiophyceae",0.994539091011713,"norank_c__Trebouxiophyceae",0.994539091011713,"norank_c__Trebouxiophyceae",0.994539091011713,"Chloroidium_ellipsoideum",0.0261534707014002
"Bin34",0.00266081000871538,"OTU3848",0.320764611390178,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","Bicosoeca","uncultured_stramenopile_g__Bicosoeca","Eukaryota",1,"norank_d__Eukaryota",0.772403683483033,"SAR_d__Eukaryota",0.772403683483033,"norank_p__SAR_d__Eukaryota",0.717013018124942,"norank_p__SAR_d__Eukaryota",0.717013018124942,"norank_p__SAR_d__Eukaryota",0.717013018124942,"Bicosoeca",0.715386793696512,"uncultured_stramenopile_g__Bicosoeca",0.320764611390178
"Bin35",0.00503530517598341,"OTU598",0.46239082613636,"Eukaryota","Cryptophyceae","norank_k__Cryptophyceae","norank_k__Cryptophyceae","Cryptomonadales","norank_o__Cryptomonadales","Teleaulax","unclassified_g__Teleaulax","Eukaryota",1,"Cryptophyceae",0.925626140219689,"norank_k__Cryptophyceae",0.925626140219689,"norank_k__Cryptophyceae",0.925626140219689,"Cryptomonadales",0.925626140219689,"norank_o__Cryptomonadales",0.925626140219689,"Teleaulax",0.745753789319639,"uncultured_freshwater_cryptophyte_g__Teleaulax",0.283111505579969
"Bin36",0.00276982950470239,"OTU948",0.571408046826487,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Oligohymenophorea","unclassified_f__Oligohymenophorea","unclassified_f__Oligohymenophorea","Eukaryota",1,"norank_d__Eukaryota",0.800952847780874,"SAR_d__Eukaryota",0.784643481736146,"Intramacronucleata",0.60583392540039,"Conthreep",0.60583392540039,"Oligohymenophorea",0.60583392540039,"norank_f__Eugregarinorida",0.0285426020863802,"marine_metagenome_k__Amoebozoa",0.00372044818105285
"Bin37",0.0591593769277012,"OTU665",0.405344221177126,"Eukaryota","Cryptophyceae","norank_k__Cryptophyceae","norank_k__Cryptophyceae","Cryptomonadales","norank_o__Cryptomonadales","Cryptomonas","metagenome_g__Cryptomonas","Eukaryota",1,"Cryptophyceae",0.711586683803515,"norank_k__Cryptophyceae",0.711586683803515,"norank_k__Cryptophyceae",0.711586683803515,"Cryptomonadales",0.711586683803515,"norank_o__Cryptomonadales",0.711586683803515,"Cryptomonas",0.430284766796105,"metagenome_g__Cryptomonas",0.407315817388598
"Bin38",0.0245912984877462,"OTU821",0.364854884571045,"Eukaryota","Cryptophyceae","Kathablepharidae","norank_p__Kathablepharidae","norank_p__Kathablepharidae","norank_p__Kathablepharidae","norank_p__Kathablepharidae","uncultured_Katablepharidaceae","Eukaryota",1,"Cryptophyceae",0.709259097581515,"Kathablepharidae",0.709259097581515,"norank_p__Kathablepharidae",0.709259097581515,"norank_p__Kathablepharidae",0.709259097581515,"norank_p__Kathablepharidae",0.709259097581515,"norank_p__Kathablepharidae",0.709259097581515,"uncultured_Katablepharidaceae",0.708169011042665
"Bin39",0.00233400359232896,"OTU4004",0.812626537144103,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","Eukaryota",1,"Fungi",0.990374316268131,"Ascomycota",0.000326569875345245,"Saccharomycetes",0.000326569875345245,"Saccharomycetales",0.000326569875345245,"unclassified_k__Fungi",0.990047746392786,"unclassified_k__Fungi",0.990047746392786,"unclassified_k__Fungi",0.990047746392786
"Bin40",0.0444664209566228,"OTU601",0.950657702244394,"Eukaryota","Animalia","Arthropoda","Maxillopoda","Calanoida","norank_o__Calanoida","norank_o__Calanoida","Sinocalanus_sinensis","Eukaryota",1,"Animalia",0.996137737922596,"Arthropoda",0.996092335853364,"Maxillopoda",0.996092335853364,"Calanoida",0.996044305474849,"norank_o__Calanoida",0.996044305474849,"norank_o__Calanoida",0.996044305474849,"Sinocalanus_sinensis",0.950843135197802
