SpeciesID	S1_10B	S2_10Z	S3_10D	S4_11B	S5_11Z	S6_11D	S7_12B	S8_12Z	S9_12D	S10_1B	S11_1Z	S12_1D	S13_2B	S14_2Z	S15_2D	S16_3B	S17_3Z	S18_3D	S19_4B	S20_4Z	S21_4D	S22_5B	S23_5Z	S24_5D	S25_6B	S26_6Z	S27_6D	S28_7B	S29_7Z	S30_7D	S31_8B	S32_8Z	S33_8D	S34_9B	S35_9Z	S36_9D
OTU868	0	0	0	0	2	2	0	0	1	1	1	1	0	0	0	0	1	0	0	7	3	0	1	0	1629	60	996	2	31	7	0	1	0	3	23	10
OTU869	0	0	2	1	87	6	19	1	2	5	4	28	0	4	0	0	3	0	0	4	4	2	3	0	0	0	0	5	0	8	0	45	2	0	0	0
OTU870	10	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	3	27	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU871	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	11	2	0	0	0	0	0	0	4	2	0	4	11	11
OTU873	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	56	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
OTU875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU876	0	2	10	0	0	1	5	3	1	8	1	3	27	6	12	9	7	5	0	8	14	12	93	72	0	3	1	53	419	39	9	3	11	8	20	28
OTU877	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU878	3	6	12	2	7	4	1	1	3	2	1	4	5	7	7	35	37	22	0	5	6	1541	5789	1272	14	1164	1233	341	163	89	3	83	56	183	293	168
