OTU ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU3880	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Glissomonadida	norank_c__Glissomonadida	norank_c__Glissomonadida	Heteromita	unclassified_g__Heteromita
OTU3881	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Bacillariophyceae	norank_c__Bacillariophyceae	norank_c__Bacillariophyceae	norank_c__Bacillariophyceae	Fistulifera_saprophila
OTU3882	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3883	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3884	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3885	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3886	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3887	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia	Mrakia_aquatica
OTU3888	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3889	Eukaryota	Amoebozoa	unclassified_k__Amoebozoa	unclassified_k__Amoebozoa	unclassified_k__Amoebozoa	unclassified_k__Amoebozoa	unclassified_k__Amoebozoa	unclassified_k__Amoebozoa
OTU3890	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Bacillariophyceae	norank_c__Bacillariophyceae	norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae
OTU3891	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3892	Eukaryota	Fungi	LKM15	norank_p__LKM15	norank_p__LKM15	norank_p__LKM15	norank_p__LKM15	metagenome_p__LKM15
OTU3893	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3894	Eukaryota	Animalia	Vertebrata	Mammalia	norank_c__Mammalia	norank_c__Mammalia	norank_c__Mammalia	Gorilla_gorilla_gorilla_western_lowland_gorilla
OTU3895	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	unclassified_f__Helotiaceae	unclassified_f__Helotiaceae
OTU3896	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3897	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3898	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3899	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia	Mrakia_frigida_g__Mrakia
OTU3900	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3901	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3902	Eukaryota	norank_d__Eukaryota	norank_d__Eukaryota	Ichthyosporea	unclassified_c__Ichthyosporea	unclassified_c__Ichthyosporea	unclassified_c__Ichthyosporea	unclassified_c__Ichthyosporea
OTU3903	Eukaryota	Cryptophyceae	norank_k__Cryptophyceae	norank_k__Cryptophyceae	norank_k__Cryptophyceae	norank_k__Cryptophyceae	norank_k__Cryptophyceae	uncultured_eukaryote_k__Cryptophyceae
OTU3904	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	Hyphochytriales	norank_o__Hyphochytriales	norank_o__Hyphochytriales	unclassified_g__norank_o__Hyphochytriales
OTU3905	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3906	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Conoidasida	Gregarinasina	Eugregarinorida	unclassified_f__Eugregarinorida	unclassified_f__Eugregarinorida
OTU3907	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Labyrinthulomycetes_p__SAR_p__SAR_d__Eukaryota	norank_c__Labyrinthulomycetes_p__SAR_p__SAR_d__Eukaryota	Amphitraemidae	norank_f__Amphitraemidae	unclassified_g__norank_f__Amphitraemidae
