OTU ID	Domain	Phylum	Class	Order	Family	Genus
OTU8112	Bacteria	WS2	norank_p__WS2	norank_p__WS2	norank_p__WS2	norank_p__WS2
OTU8113	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	norank_f__JG30-KF-CM45
OTU8114	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Baekduia
OTU8115	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU8116	Bacteria	Bacillota	Clostridia	norank_c__Clostridia	norank_c__Clostridia	norank_c__Clostridia
OTU8117	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium
OTU8118	Bacteria	Chloroflexota	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Jan-59
OTU8119	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter
OTU8120	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella
OTU8121	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
OTU8122	Bacteria	Actinomycetota	MB-A2-108	norank_c__MB-A2-108	norank_c__MB-A2-108	norank_c__MB-A2-108
OTU8123	Bacteria	Bacillota	Bacilli	unclassified_c__Bacilli	unclassified_c__Bacilli	unclassified_c__Bacilli
OTU8124	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1
OTU8125	Bacteria	Actinomycetota	Actinobacteria	Frankiales	norank_o__Frankiales	norank_o__Frankiales
OTU8126	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales_	Bauldia
OTU8127	Bacteria	Bacillota	Bacilli	Desulfuribacillales	Desulfuribacillaceae	Desulfuribacillus
OTU8128	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Dankookia
OTU8129	Bacteria	Nitrospinota	P9X2b3D02	norank_c__P9X2b3D02	norank_c__P9X2b3D02	norank_c__P9X2b3D02
OTU8130	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	norank_o__Candidatus_Woesebacteria	norank_o__Candidatus_Woesebacteria
OTU8131	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter
OTU8132	Bacteria	Chloroflexota	Anaerolineae	Ardenticatenales	Ardenticatenaceae	norank_f__Ardenticatenaceae
OTU8133	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
OTU8134	Bacteria	Chloroflexota	KD4-96	norank_c__KD4-96	norank_c__KD4-96	norank_c__KD4-96
OTU8135	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU8136	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	norank_o__Chloroplast	norank_o__Chloroplast
OTU8137	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella
OTU8138	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea
OTU8139	Bacteria	Bacillota	unclassified_p__Bacillota	unclassified_p__Bacillota	unclassified_p__Bacillota	unclassified_p__Bacillota
OTU8140	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Ruminiclostridium
OTU8141	Bacteria	Chloroflexota	Anaerolineae	SJA-15	norank_o__SJA-15	norank_o__SJA-15
OTU8142	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	norank_f__Hydrogenedensaceae
OTU8143	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	norank_f__Vermiphilaceae
OTU8144	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group
OTU8145	Bacteria	Bacillota	norank_p__Bacillota	norank_p__Bacillota	norank_p__Bacillota	norank_p__Bacillota
OTU8146	Bacteria	Bacillota	Bacilli	unclassified_c__Bacilli	unclassified_c__Bacilli	unclassified_c__Bacilli
OTU8147	Bacteria	Bacillota	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Thermoflavimicrobium
OTU8148	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	unclassified_f__Pedosphaeraceae
OTU8149	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified_f__Anaerolineaceae
OTU8150	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Ruminiclostridium
OTU8151	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
OTU8152	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
OTU8153	Bacteria	Bacillota	Clostridia	Clostridia_UCG-014	norank_o__Clostridia_UCG-014	norank_o__Clostridia_UCG-014
OTU8154	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
OTU8155	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Smaragdicoccus
OTU8156	Bacteria	SAR324_clade(Marine_group_B)	norank_p__SAR324_clade(Marine_group_B)	norank_p__SAR324_clade(Marine_group_B)	norank_p__SAR324_clade(Marine_group_B)	norank_p__SAR324_clade(Marine_group_B)
