SpeciesID	S1_10B	S2_10Z	S3_10D	S4_11B	S5_11Z	S6_11D	S7_12B	S8_12Z	S9_12D	S10_1B	S11_1Z	S12_1D	S13_2B	S14_2Z	S15_2D	S16_3B	S17_3Z	S18_3D	S19_4B	S20_4Z	S21_4D	S22_5B	S23_5Z	S24_5D	S25_6B	S26_6Z	S27_6D	S28_7B	S29_7Z	S30_7D	S31_8B	S32_8Z	S33_8D	S34_9B	S35_9Z	S36_9D
OTU310	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU311	0	0	0	4	4	0	7	12	11	5	7	11	188	182	156	3	1	0	3	1	0	0	0	0	0	1	0	77	3	2	0	0	0	0	0	0
OTU312	0	0	0	0	0	0	8	14	18	9	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU313	0	0	0	1	0	0	0	0	3	0	6	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	0	54	0	0	0	0	0	0	0
OTU314	60	26	12	20	189	0	35	0	0	2	3	46	1	1	5	55	1	1	55	1	1	0	0	4	0	0	0	20	8	99	0	0	0	0	0	0
OTU315	0	1	3	1	0	5	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU316	0	11	0	3	4	4	5	10	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
OTU317	0	0	1	0	2	2	0	0	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	6
OTU318	0	0	3	8	8	21	4	2	3	5	4	15	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU319	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU320	1970	1959	1882	1748	1891	1548	792	633	613	364	487	203	194	127	146	18	114	61	18	114	61	4	3	0	0	0	0	86	85	69	0	9	188	1	0	0
OTU321	0	0	4	1	2	3	0	0	13	4	1	0	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU322	1	2	3	3	0	1	2	1	2	2	3	10	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	2	0	1	0	0	0	4	0	0
OTU323	19	19	18	15	19	25	6	6	12	2	5	0	8	6	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU324	0	2	0	0	0	0	3	8	35	172	384	122	31	16	62	0	3	0	0	3	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0
OTU325	8	44	31	3	5	1	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU326	0	11	3	0	0	0	4	34	13	10	9	0	7	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU327	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU328	151	189	145	15	35	11	52	28	30	74	98	124	69	84	58	18	32	15	18	32	15	0	13	12	0	1	6	97	72	61	0	1	6	29	28	33
OTU329	0	0	4	0	4	7	1	1	6	2	2	21	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	18	10	8
OTU330	22	19	25	29	20	14	42	12	10	16	9	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU331	5	2	0	6	20	12	32	30	17	24	27	21	24	26	17	1	30	43	1	30	43	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU332	12	3	5	126	100	103	7	7	4	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	5	0	1	0
OTU333	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU334	28	25	15	20	29	21	1	0	4	5	9	7	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU335	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU336	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	1	1	4	5	4
OTU337	10	17	7	9	12	11	3	10	5	16	11	17	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29	8	7	0	10	87	66	71	58
OTU338	3583	6388	5492	4700	5122	3586	7365	3156	2534	4548	3819	1708	454	867	957	0	61	88	0	61	88	45	9	1	0	0	0	5	36	15	0	24	1704	4	4	0
OTU339	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
OTU340	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU341	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU342	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU343	99	106	95	62	82	90	122	152	110	133	140	86	52	38	62	0	26	6	0	26	6	5	1	2	0	0	0	0	5	1	0	0	47	0	2	2
OTU344	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU345	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU346	11	22	15	43	61	57	35	12	10	12	15	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
OTU347	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU348	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU349	0	0	0	0	2	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU350	4	20	7	1	2	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU351	3	0	0	0	3	0	0	0	0	1	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	2	0	0	0
OTU352	5	33	20	14	35	19	102	207	297	363	369	289	96	52	27	9	3	0	9	3	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
OTU353	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU354	0	0	1	0	10	1	0	1	5	1	1	9	0	0	5	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU355	1	1	8	1	5	5	1	4	1	2	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	2	0
OTU356	4664	1136	1059	222	166	186	861	624	516	478	375	362	1376	895	538	0	163	61	0	163	61	2	0	0	0	0	0	0	1	0	0	0	17	16	5	2
OTU357	0	2	0	1	6	4	1	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU358	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU359	0	0	0	0	0	0	0	0	2	1	1	0	2	1	0	3	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU360	50	69	53	35	42	28	1	3	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU361	1	0	6	5	9	12	6	4	7	2	7	28	0	1	5	3	0	0	3	0	0	0	0	0	0	0	0	5	3	0	0	0	0	7	2	5
OTU362	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	2	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1
